,Result,Home_Elo,Away_Elo
430,L,1585.20178223,1661.98803711
431,W,1865.56872559,1482.34729004
432,L,1533.37963867,1641.39697266
433,W,1581.08007812,1598.5859375
434,W,1598.79052734,1542.18286133
435,L,1507.78015137,1540.87023926
436,L,1488.52209473,1687.65771484
437,L,1599.02246094,1504.11767578
438,W,1904.08874512,1728.56628418
439,L,1603.30664062,1717.20581055
440,L,1591.77392578,1866.98608398
441,D,1724.05969238,1586.83618164
442,W,1669.69311523,1587.89221191
443,W,1536.99499512,1481.76208496
444,D,1724.73706055,1526.27624512
445,L,1516.30407715,1498.9296875
446,D,1549.72070312,1907.91796875
447,W,1694.41772461,1577.49682617
448,D,1648.50048828,1596.45275879
449,L,1480.92993164,1603.97839355
450,D,1844.52661133,1550.69189453
451,D,1526.63720703,1468.42736816
452,D,1575.34387207,1565.9029541
453,W,1604.54223633,1500.4831543
454,W,1907.35961914,1670.3026123
455,L,1593.62255859,1536.29846191
456,D,1586.13574219,1710.15942383
457,L,1715.66577148,1688.18969727
458,W,1502.81188965,1639.3918457
459,W,1708.3894043,1836.82250977
460,L,1547.59301758,1587.90576172
461,L,1523.29296875,1911.45825195
462,W,1573.2989502,1582.32800293
463,D,1586.16467285,1512.99353027
464,W,1629.21008301,1496.27661133
465,W,1567.94799805,1463.53869629
466,D,1666.20397949,1608.7487793
467,W,1558.39599609,1701.08288574
468,D,1471.77148438,1702.77270508
469,L,1632.84423828,1571.17285156
470,W,1812.85327148,1533.76269531
471,W,1457.84533691,1661.27526855
472,L,1598.66394043,1570.56921387
473,L,1489.5703125,1520.0411377
474,W,1610.60534668,1581.12609863
475,W,1571.42858887,1580.86889648
476,D,1698.94543457,1919.1060791
477,L,1673.45080566,1474.67358398
478,L,1515.21716309,1727.3371582
479,W,1914.93127441,1659.3034668
480,L,1649.6114502,1815.09594727
481,W,1531.5201416,1505.56799316
482,W,1528.94128418,1616.39233398
483,D,1575.3392334,1469.5090332
484,L,1582.69763184,1578.15368652
485,D,1488.82092285,1588.06311035
486,L,1574.14379883,1703.12036133
487,W,1736.98632812,1480.67016602
488,D,1581.17016602,1621.31945801
489,W,1586.66711426,1640.92175293
490,W,1821.17346191,1569.65405273
491,L,1585.89538574,1919.42736816
492,D,1571.87536621,1472.88537598
493,W,1606.43078613,1579.33459473
494,W,1498.58911133,1488.67993164
495,W,1697.63708496,1536.19018555
496,L,1476.99621582,1566.49353027
497,W,1652.08227539,1536.59387207
498,L,1620.84619141,1746.67431641
499,D,1477.24511719,1825.69567871
500,W,1579.52685547,1606.34460449
501,W,1532.71032715,1509.09558105
502,D,1565.13183594,1580.52209473
503,W,1924.80053711,1612.4185791
504,W,1478.17346191,1594.47729492
505,D,1573.34680176,1463.96289062
506,D,1633.11157227,1704.60424805
507,D,1529.22314453,1655.96582031
508,D,1761.17590332,1567.51550293
509,W,1484.00939941,1589.80505371
510,D,1589.7677002,1481.2232666
511,W,1524.64672852,1626.96228027
512,W,1534.64074707,1562.41772461
513,L,1462.2947998,1493.75622559
514,W,1567.55786133,1567.46105957
515,W,1578.8302002,1603.75805664
516,W,1494.56787109,1575.63452148
517,L,1790.53479004,1923.89147949
518,W,1693.87890625,1557.42211914
519,L,1650.72851562,1751.81445312
520,W,1506.5213623,1544.52319336
521,W,1617.91430664,1585.08911133
522,D,1485.90185547,1533.69470215
523,L,1560.99377441,1585.83093262
524,D,1554.07116699,1578.68884277
525,L,1767.82226562,1556.3302002
526,L,1449.52966309,1697.22998047
527,W,1596.75744629,1784.32824707
528,W,1930.09802246,1509.20874023
529,L,1552.53527832,1634.72058105
530,W,1537.4095459,1627.63647461
531,W,1773.33093262,1551.6809082
532,W,1570.98364258,1544.74682617
533,W,1642.5090332,1442.79968262
534,W,1595.14367676,1513.63500977
535,W,1485.24279785,1931.015625
536,L,1508.2911377,1552.73205566
537,L,1534.35375977,1753.16882324
538,D,1580.0279541,1703.95983887
539,D,1575.36682129,1607.75463867
540,L,1606.38049316,1488.66674805
541,W,1752.53625488,1487.10388184
542,D,1536.92248535,1568.89111328
543,W,1548.67150879,1533.41772461
544,D,1426.71142578,1588.91040039
545,W,1895.51135254,1564.19689941
546,W,1526.28564453,1517.32775879
547,L,1494.6204834,1739.12438965
548,W,1687.71655273,1561.61108398
549,L,1596.26245117,1623.16943359
550,L,1555.30200195,1754.19458008
551,D,1508.6060791,1560.44848633
552,W,1521.64074707,1562.5201416
553,L,1569.93969727,1429.34387207
554,L,1586.2779541,1897.18811035
555,W,1510.29394531,1535.00732422
556,W,1485.44555664,1490.75744629
557,W,1742.98742676,1694.02563477
558,W,1587.00415039,1535.87390137
559,W,1632.42773438,1584.75317383
560,W,1763.9206543,1581.49023438
561,L,1484.31738281,1592.28515625
562,W,1530.59289551,1534.21166992
563,L,1579.53369141,1551.30029297
564,W,1560.94812012,1545.57592773
565,D,1549.94921875,1637.6472168
566,W,1686.82446289,1491.88562012
567,W,1447.9831543,1517.12402344
568,W,1901.97570801,1508.10656738
569,L,1528.17736816,1750.1887207
570,L,1503.45727539,1566.89916992
571,L,1506.98547363,1550.41418457
572,D,1527.90466309,1461.64990234
573,D,1566.55615234,1766.53564453
574,W,1637.18237305,1477.03515625
575,L,1578.87536621,1690.34509277
