,Result,Home_Elo,Away_Elo
251,W,1580.98376465,1594.0970459
252,W,1744.91369629,1593.52734375
253,D,1575.1842041,1642.4609375
254,D,1627.9354248,1682.39575195
255,W,1685.23498535,1598.43066406
256,W,1813.44238281,1678.07739258
257,W,1671.34521484,1815.43518066
258,W,1685.53710938,1575.27856445
259,W,1801.24328613,1844.29833984
260,D,1830.49230957,1594.01977539
261,W,1671.0826416,1587.19580078
262,W,1624.7532959,1642.36645508
263,L,1627.66088867,1695.65734863
264,L,1689.64587402,1587.88500977
265,L,1588.98742676,1853.88171387
266,W,1820.43713379,1749.45361328
267,L,1682.67016602,1881.25561523
268,D,1857.83557129,1676.57629395
269,W,1600.5859375,1677.39477539
270,W,1744.33361816,1671.53796387
271,W,1569.16418457,1631.04833984
272,W,1810.86474609,1635.10876465
273,W,1611.15991211,1625.74853516
274,W,1607.59082031,1621.69689941
275,W,1755.01208496,1579.58508301
276,L,1685.81750488,1888.12890625
277,D,1586.12072754,1634.91516113
278,W,1665.98046875,1833.19213867
279,L,1671.94177246,1712.40979004
280,D,1838.86987305,1816.17932129
281,L,1582.78930664,1831.77624512
282,W,1827.1550293,1705.77966309
283,L,1635.4921875,1830.85766602
284,L,1892.8963623,1614.19750977
285,W,1573.98913574,1663.35803223
286,W,1720.99353027,1681.0501709
287,W,1818.79626465,1760.60803223
288,D,1837.49182129,1680.71923828
289,D,1702.07702637,1620.27209473
290,W,1615.09020996,1585.54382324
291,D,1818.45336914,1836.25292969
292,D,1616.63623047,1577.07373047
293,W,1628.44152832,1673.51281738
294,W,1728.53088379,1579.9934082
295,D,1831.74768066,1753.73706055
296,W,1620.640625,1686.46337891
297,W,1816.92492676,1654.8145752
298,W,1877.43273926,1837.78137207
299,W,1582.5324707,1580.16113281
300,D,1825.66723633,1624.39440918
301,W,1697.95471191,1629.66101074
302,L,1613.5489502,1837.9083252
303,L,1631.02856445,1882.59521484
304,W,1832.61901855,1591.38696289
305,D,1571.30664062,1635.86218262
306,L,1666.09216309,1819.03320312
307,W,1844.08886719,1631.90734863
308,L,1675.19665527,1704.51025391
309,W,1650.05053711,1607.36828613
310,W,1757.78039551,1733.01196289
311,L,1575.51220703,1827.7043457
312,W,1623.10546875,1821.68896484
313,D,1642.01501465,1724.19287109
314,W,1765.40686035,1636.28796387
315,L,1713.95568848,1835.27941895
316,W,1660.13391113,1588.82019043
317,D,1568.50366211,1655.14257812
318,W,1848.48828125,1625.66381836
319,W,1627.6015625,1602.36987305
320,W,1836.24072266,1888.05371094
321,L,1665.84484863,1825.08508301
322,L,1570.97460938,1802.87329102
323,W,1622.68823242,1567.44702148
324,W,1583.47387695,1633.84143066
325,W,1597.99804688,1667.34802246
326,D,1655.94348145,1771.078125
327,L,1632.48449707,1851.9942627
328,L,1831.99487305,1642.95361328
329,W,1878.7265625,1702.73791504
330,W,1808.26879883,1723.46496582
331,L,1657.2376709,1853.33178711
332,W,1557.72802734,1569.57080078
333,D,1848.3651123,1858.93530273
334,L,1652.03845215,1625.54345703
335,D,1699.08618164,1593.58435059
336,D,1656.39648438,1656.93530273
337,L,1563.19262695,1632.40734863
338,L,1660.80297852,1719.45898438
339,L,1770.08630371,1882.3782959
340,D,1861.02075195,1608.94946289
341,D,1564.10620117,1846.27966309
342,W,1858.53088379,1812.27478027
343,L,1623.73095703,1817.7109375
344,W,1661.0267334,1867.26184082
345,D,1642.45471191,1655.81604004
346,D,1643.13952637,1653.87536621
347,L,1600.29382324,1556.65612793
348,W,1729.89758301,1620.39807129
349,W,1842.8013916,1637.95349121
350,W,1618.13293457,1759.46777344
351,W,1807.05480957,1860.77294922
352,D,1824.55480957,1695.88769531
353,W,1896.5078125,1571.09545898
354,L,1701.26831055,1817.38427734
355,W,1750.02722168,1614.03222656
356,L,1655.94921875,1898.68859863
357,W,1640.65454102,1641.26660156
358,W,1847.88415527,1736.46447754
359,L,1569.11560059,1691.39526367
360,L,1657.81713867,1827.45837402
361,L,1572.75854492,1627.77441406
362,W,1633.07165527,1584.39245605
363,W,1856.14367676,1850.85412598
364,L,1672.34570312,1819.27453613
365,W,1902.81835938,1610.79003906
366,W,1837.19274902,1560.64562988
367,W,1851.5736084,1651.81945801
368,D,1698.48193359,1844.77148438
369,L,1732.77502441,1862.22631836
370,W,1839.3560791,1753.26940918
371,L,1635.2310791,1660.15148926
372,W,1904.23449707,1558.4822998
373,L,1574.22094727,1877.10009766
374,D,1717.90112305,1646.69018555
375,W,1831.46887207,1562.02893066
376,W,1842.81713867,1643.24316406
377,L,1700.4362793,1648.0826416
378,W,1639.8873291,1648.453125
379,L,1609.37390137,1854.93994141
380,W,1848.28649902,1716.99487305
381,L,1583.79980469,1866.80700684
382,L,1909.3996582,1628.98840332
383,L,1642.86242676,1475.79931641
384,W,1751.50134277,1662.61376953
385,D,1692.06628418,1649.37011719
386,D,1603.66809082,1837.41552734
387,W,1645.13134766,1653.75756836
388,W,1857.80200195,1672.55529785
389,L,1623.17907715,1887.51184082
390,L,1651.28466797,1611.68066406
391,L,1648.39099121,1655.17468262
392,W,1717.46289062,1582.86523438
393,W,1844.75695801,1622.65844727
394,W,1692.53527832,1671.01965332
395,W,1662.23205566,1855.38903809
396,L,1656.47155762,1866.90808105
397,W,1503.57373047,1621.89611816
398,L,1896.36523438,1897.56750488
399,D,1875.31213379,1762.9395752
400,L,1637.58068848,1872.29858398
401,L,1622.42285156,1648.74316406
402,D,1514.66381836,1700.11328125
403,W,1878.34301758,1724.15344238
404,W,1614.51269531,1667.14819336
405,D,1629.09118652,1579.88122559
406,W,1909.0279541,1770.53967285
407,W,1853.34472656,1846.18505859
408,D,1888.61120605,1640.47839355
409,D,1666.79394531,1675.14245605
410,W,1834.60693359,1633.59631348
411,W,1583.24194336,1664.93103027
412,L,1765.89831543,1881.32067871
413,L,1719.74377441,1913.66943359
414,W,1876.28283691,1864.92285156
415,L,1696.96643066,1625.73046875
416,D,1677.00537109,1882.75256348
417,W,1647.7689209,1609.44763184
418,L,1661.71838379,1627.33105469
419,W,1654.32995605,1517.81066895
420,W,1631.95153809,1597.34692383
421,L,1606.328125,1682.35705566
422,D,1515.37243652,1717.0234375
423,D,1850.93786621,1655.42419434
424,W,1640.66308594,1682.85095215
425,D,1902.21179199,1652.92211914
426,L,1644.87561035,1899.48706055
427,D,1655.36193848,1661.30395508
428,D,1922.43981934,1843.91369629
429,W,1884.01403809,1744.37561035
430,D,1661.93066406,1518.88342285
431,W,1737.57702637,1637.31445312
432,L,1713.51245117,1844.43139648
433,W,1908.66113281,1598.23327637
434,L,1690.45202637,1890.81262207
435,L,1675.66796875,1918.35241699
436,L,1660.23364258,1635.70153809
437,L,1663.24499512,1894.90026855
438,W,1591.98400879,1647.84606934
439,W,1848.00109863,1653.42102051
440,D,1642.11474609,1715.84204102
441,L,1946.88122559,1924.16845703
442,L,1533.14758301,1914.37438965
443,W,1916.453125,1604.11450195
444,W,1676.45239258,1694.16711426
445,D,1658.54589844,1655.02307129
446,W,1667.86523438,1658.41247559
447,W,1863.25927734,1608.4855957
448,L,1742.50146484,1665.16687012
449,D,1648.84484863,1856.85229492
450,D,1676.95959473,1673.8684082
451,W,1601.38085938,1936.74511719
452,D,1852.93933105,1919.18676758
453,W,1934.30456543,1683.28527832
454,W,1652.40942383,1529.39343262
455,W,1918.12854004,1642.28857422
456,W,1657.04443359,1865.87731934
457,D,1605.86755371,1730.7088623
458,D,1687.33422852,1652.75769043
459,D,1715.66821289,1656.52453613
460,L,1679.11450195,1610.75756836
461,W,1921.11352539,1671.93115234
462,W,1527.359375,1928.4005127
463,W,1946.69970703,1678.31567383
464,W,1658.95898438,1618.96032715
465,W,1687.73510742,1663.36975098
466,L,1682.40942383,1643.98986816
467,L,1661.0456543,1715.4251709
468,L,1721.37316895,1861.13305664
469,W,1929.18395996,1861.41162109
470,L,1654.90319824,1923.7166748
471,W,1871.81762695,1652.68115234
472,D,1613.51123047,1658.96679688
473,W,1853.30004883,1543.08972168
474,W,1912.67004395,1937.29553223
475,L,1669.32800293,1671.49621582
476,L,1657.45690918,1949.65979004
477,D,1630.90527344,1693.64794922
478,W,1723.78967285,1710.68859863
479,W,1675.35559082,1664.40820312
480,W,1540.88049316,1654.48864746
481,L,1658.2199707,1651.64807129
482,L,1693.72680664,1681.71533203
483,D,1681.04650879,1732.43786621
484,L,1650.58422852,1630.99804688
485,L,1659.70935059,1856.77160645
486,W,1915.40393066,1922.8692627
487,W,1693.88891602,1659.94909668
488,W,1965.66638184,1865.81201172
489,W,1941.8972168,1612.94018555
490,W,1661.12268066,1550.44641113
491,W,1860.01977539,1943.14880371
492,W,1691.63964844,1640.5637207
493,D,1611.6887207,1699.57531738
494,L,1732.66845703,1971.45861816
495,W,1864.64465332,1683.80236816
496,W,1916.17687988,1648.74523926
497,L,1644.92285156,1922.09631348
498,W,1654.26281738,1651.83630371
499,D,1641.01855469,1680.81604004
500,D,1631.83740234,1716.36010742
501,W,1601.42431641,1670.44372559
502,D,1858.88842773,1921.39379883
503,W,1895.66467285,1629.3190918
504,L,1634.52539062,1652.18981934
505,D,1621.78833008,1658.19067383
506,D,1926.29541016,1627.45007324
507,L,1688.34326172,1848.10131836
508,L,1531.30664062,1966.21264648
509,W,1667.859375,1667.70800781
510,D,1627.48620605,1609.66638184
511,W,1715.7479248,1918.50769043
512,L,1668.04968262,1897.49755859
513,D,1635.23791504,1618.66552734
