,Home_Elo,Away_Elo,Result
292,1709.88879395,1616.64477539,W
293,1818.86047363,2026.04296875,L
294,1717.04968262,1648.29260254,W
295,1922.33935547,1701.61096191,W
296,1661.96191406,1829.94616699,D
297,1706.29516602,1733.34460449,W
298,1767.01184082,1699.04614258,D
299,1763.08410645,1791.6361084,L
300,1640.58728027,1755.49389648,L
301,1702.20068359,1881.99719238,L
302,1911.07653809,1725.67797852,W
303,2032.45214844,1715.47607422,L
304,1725.61877441,1666.29077148,L
305,1611.98046875,1827.29821777,L
306,1826.54016113,1929.2364502,L
307,1800.14941406,1813.91369629,W
308,1699.26049805,1764.78015137,D
309,1610.22570801,1714.94384766,W
310,1768.11047363,1822.58850098,D
311,1681.24072266,1812.3470459,W
312,1765.91943359,1610.0333252,W
313,1855.18212891,1639.15686035,D
314,1943.4831543,1719.66394043,W
315,1735.45275879,1915.24682617,D
316,1891.16381836,1704.92529297,D
317,1726.86450195,2024.60778809,L
318,1821.76062012,1701.94238281,W
319,1810.71105957,1632.22241211,W
320,1849.18591309,1768.93823242,L
321,1911.06506348,1691.95483398,D
322,1606.05847168,1710.35913086,W
323,1801.63293457,1885.72998047,L
324,1724.45935059,1626.23474121,D
325,1739.63464355,1947.43103027,D
326,1769.89428711,1715.71606445,L
327,1816.69873047,1699.05566406,W
328,1699.85192871,1823.75415039,D
329,1702.29736328,1746.87561035,W
330,1896.9498291,1647.51782227,W
331,1696.72973633,2033.76318359,L
332,1782.09887695,1723.47924805,L
333,1700.34399414,1835.23681641,L
334,1828.58044434,1618.84985352,W
335,1738.76672363,1797.57910156,L
336,1631.94445801,1751.57324219,D
337,1824.29003906,1696.33081055,L
338,1737.94372559,1837.98962402,W
339,1910.81323242,1706.13183594,W
340,2043.67529297,1919.58557129,L
341,1616.25646973,1697.47851562,L
342,1839.06408691,1638.01940918,W
343,1737.13415527,1953.38745117,L
344,1808.17797852,1775.25964355,L
345,1752.31396484,1718.04492188,W
346,1647.39782715,1734.98352051,L
347,1958.42248535,1807.52746582,L
348,1701.82263184,1706.98596191,W
349,1931.40734863,1843.48974609,L
350,1732.09912109,1784.72961426,D
351,1946.3605957,1915.12243652,L
352,1713.09338379,2031.85351562,L
353,1711.24755859,1798.70800781,D
354,1744.23291016,1752.07336426,L
355,1712.61169434,1638.1484375,W
356,1696.19689941,1733.03125,W
357,1783.79748535,1606.74890137,L
358,1823.85998535,1759.11132812,W
359,1633.59375,1928.49035645,L
360,1713.19116211,2033.8984375,W
361,1920.43591309,1819.58935547,W
362,1932.99255371,1630.04516602,D
363,1720.71496582,1768.94812012,L
364,1727.35827637,1930.85375977,L
365,1704.71337891,1854.46118164,L
366,1770.79492188,1750.77075195,W
367,1711.04846191,1619.75146484,W
368,1832.20056152,1724.51477051,L
369,1631.23022461,1796.7644043,L
370,1861.24194336,1728.19091797,W
371,1735.6920166,1925.52844238,W
372,1637.33166504,1716.44616699,L
373,1779.06689453,1624.96850586,W
374,1814.4967041,1821.02331543,L
375,1937.44934082,1697.93261719,W
376,2018.89868164,1777.90686035,W
377,1614.3536377,1720.76269531,W
378,1803.02624512,1710.59619141,W
379,1743.65881348,1925.70617676,L
