,Result,Home_Elo,Away_Elo
445,W,1737.44750977,1616.67919922
446,W,1905.94384766,1567.75939941
447,D,1516.35461426,1521.69934082
448,D,1671.05310059,1510.45153809
449,L,1863.13745117,1907.76696777
450,L,1963.9967041,1745.43835449
451,W,1588.62023926,1514.52624512
452,L,1565.9362793,1532.55810547
453,D,1523.52758789,1665.25256348
454,W,1675.50878906,1575.84887695
455,W,1748.0489502,1707.75732422
456,W,1619.62792969,1741.23571777
457,D,1608.68835449,1516.2520752
458,W,1516.2520752,1459.85412598
459,D,1914.53930664,1756.76989746
460,W,1636.31469727,1529.00671387
461,D,1699.58203125,1546.59118652
462,W,1733.83703613,1596.79101562
463,L,1458.09777832,1682.90734863
464,W,1524.74084473,1524.74084473
465,W,1775.33569336,1558.63562012
466,L,1513.0880127,1609.85595703
467,L,1666.50598145,1862.83483887
468,L,1575.18286133,1954.37927246
469,W,1762.50378418,1645.27770996
470,W,1867.48803711,1520.04370117
471,W,1737.30029297,1520.18237305
472,L,1593.32763672,1778.98193359
473,W,1554.98937988,1450.70336914
474,L,1520.18237305,1693.91638184
475,W,1690.30187988,1661.8527832
476,L,1552.25683594,1908.80529785
477,W,1958.30297852,1505.76257324
478,L,1617.18139648,1571.25927734
479,L,1707.14245605,1959.33874512
480,W,1868.56298828,1588.23291016
481,L,1446.70141602,1784.07666016
482,W,1518.96875,1699.75610352
483,W,1910.92407227,1606.1463623
484,W,1641.58911133,1516.27539062
485,W,1504.72680664,1550.13818359
486,W,1652.39855957,1558.99133301
487,W,1582.29431152,1741.20727539
488,L,1516.27539062,1766.19238281
489,L,1584.08300781,1527.39038086
490,L,1540.1907959,1648.23803711
491,D,1724.91894531,1509.61828613
492,W,1552.39221191,1509.99645996
493,D,1509.99645996,1897.43457031
494,L,1686.27868652,1879.3963623
495,D,1767.41540527,1653.94189453
496,W,1957.92883301,1439.453125
497,L,1601.7130127,1697.96630859
498,W,1886.06201172,1789.20629883
499,W,1891.28808594,1708.2052002
500,L,1439.04418945,1591.47412109
501,L,1538.95056152,1530.27709961
502,W,1762.68457031,1718.23901367
503,W,1658.1517334,1958.33789062
504,D,1516.29833984,1679.61303711
505,D,1658.67272949,1504.64648438
506,L,1589.95495605,1557.7421875
507,L,1504.64648438,1572.52270508
508,W,1585.29309082,1676.66503906
509,L,1572.91772461,1774.9630127
510,W,1501.35375977,1523.80517578
511,L,1601.98217773,1501.35375977
512,D,1714.92541504,1659.7434082
513,D,1544.87939453,1887.25769043
514,W,1949.22839355,1533.82592773
515,D,1781.28527832,1681.5838623
516,L,1584.25708008,1904.07556152
517,W,1735.49804688,1438.01379395
518,W,1880.56958008,1518.92346191
519,L,1906.55297852,1950.58520508
520,D,1662.97949219,1737.01403809
521,D,1436.49780273,1711.68945312
522,D,1600.75878906,1566.55895996
523,W,1685.91564941,1584.90100098
524,W,1781.32189941,1518.43481445
525,L,1661.19934082,1776.95349121
526,L,1532.46899414,1581.77966309
527,L,1518.43481445,1551.56762695
528,D,1558.70471191,1644.16955566
529,D,1952.6809082,1777.09997559
530,W,1681.22753906,1587.49291992
